frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame478__s171921,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s171921_rank478.jpg,processed_rep67__cam6_s171921_rank478.jpg,FALSE,rep67,cam6,171921,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame479__s172281,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s172281_rank479.jpg,processed_rep67__cam6_s172281_rank479.jpg,FALSE,rep67,cam6,172281,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame480__s172641,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s172641_rank480.jpg,processed_rep67__cam6_s172641_rank480.jpg,FALSE,rep67,cam6,172641,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame481__s173002,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s173002_rank481.jpg,processed_rep67__cam6_s173002_rank481.jpg,FALSE,rep67,cam6,173002,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame482__s173362,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s173362_rank482.jpg,processed_rep67__cam6_s173362_rank482.jpg,FALSE,rep67,cam6,173362,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame483__s173723,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s173723_rank483.jpg,processed_rep67__cam6_s173723_rank483.jpg,FALSE,rep67,cam6,173723,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame484__s174083,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s174083_rank484.jpg,processed_rep67__cam6_s174083_rank484.jpg,FALSE,rep67,cam6,174083,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame485__s174444,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s174444_rank485.jpg,processed_rep67__cam6_s174444_rank485.jpg,FALSE,rep67,cam6,174444,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame486__s174804,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s174804_rank486.jpg,processed_rep67__cam6_s174804_rank486.jpg,FALSE,rep67,cam6,174804,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame487__s175165,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s175165_rank487.jpg,processed_rep67__cam6_s175165_rank487.jpg,FALSE,rep67,cam6,175165,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame488__s175525,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s175525_rank488.jpg,processed_rep67__cam6_s175525_rank488.jpg,FALSE,rep67,cam6,175525,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame489__s175885,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s175885_rank489.jpg,processed_rep67__cam6_s175885_rank489.jpg,FALSE,rep67,cam6,175885,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
